miss_type,B1_sim,comp_mean,N,T.obs,B1_est,B1_pow,B0_est,B0_pow,B1_se,B0_se,conv,bias_mean,model_observations,B1_bias
mcar,0.5,0.6,20,20,0.387,0.986,0.009,0.053,0.087,0.797,1000,0.658,131.751,-0.113
mcar,0.5,0.6,20,50,0.457,1,-0.005,0.052,0.049,0.776,1000,0.427,347.918,-0.043
mcar,0.5,0.6,20,100,0.48,1,0.043,0.065,0.033,0.773,1000,0.304,708.329,-0.02
mcar,0.5,0.6,100,20,0.384,1,-0.027,0.053,0.039,0.359,1000,0.66,659.602,-0.116
mcar,0.5,0.6,100,50,0.456,1,-0.002,0.048,0.022,0.35,1000,0.426,1740.053,-0.044
mcar,0.5,0.6,100,100,0.48,1,0.008,0.046,0.015,0.348,1000,0.303,3540.097,-0.02
mcar,0.5,0.8,20,20,0.402,1,-0.014,0.062,0.062,0.787,1000,0.614,240.068,-0.098
mcar,0.5,0.8,20,50,0.464,1,-0.027,0.063,0.036,0.772,1000,0.397,624.317,-0.036
mcar,0.5,0.8,20,100,0.482,1,-0.017,0.079,0.025,0.764,1000,0.286,1263.874,-0.018
mcar,0.5,0.8,100,20,0.405,1,-0.002,0.05,0.028,0.354,1000,0.621,1200.284,-0.095
mcar,0.5,0.8,100,50,0.464,1,-0.006,0.047,0.016,0.35,1000,0.402,3120.256,-0.036
mcar,0.5,0.8,100,100,0.482,1,-0.003,0.065,0.011,0.347,1000,0.286,6319.852,-0.018
mcar,0.5,1,20,20,0.416,1,-0.023,0.07,0.048,0.781,1000,0.596,380,-0.084
mcar,0.5,1,20,50,0.468,1,0.024,0.05,0.029,0.774,1000,0.385,980,-0.032
mcar,0.5,1,20,100,0.485,1,0.023,0.071,0.02,0.765,1000,0.275,1980,-0.015
mcar,0.5,1,100,20,0.416,1,-0.014,0.055,0.021,0.354,1000,0.597,1900,-0.084
mcar,0.5,1,100,50,0.469,1,-0.008,0.051,0.013,0.349,1000,0.385,4900,-0.031
mcar,0.5,1,100,100,0.485,1,0.017,0.058,0.009,0.347,1000,0.275,9900,-0.015
mcar,0.7,0.4,20,20,0.53,0.911,-0.029,0.064,0.142,1.325,1000,1.068,56.259,-0.17
mcar,0.7,0.4,20,50,0.644,1,0.014,0.055,0.067,1.304,1000,0.709,152.099,-0.056
mcar,0.7,0.4,20,100,0.673,1,0.068,0.057,0.043,1.292,1000,0.512,312.348,-0.027
mcar,0.7,0.4,100,20,0.541,1,-0.003,0.055,0.062,0.605,1000,1.064,279.7,-0.159
mcar,0.7,0.4,100,50,0.645,1,-0.004,0.054,0.03,0.585,1000,0.71,760.372,-0.055
mcar,0.7,0.4,100,100,0.673,1,-0.016,0.055,0.019,0.581,1000,0.509,1560.222,-0.027
mcar,0.7,0.6,20,20,0.576,1,0.004,0.051,0.078,1.313,1000,1.006,131.751,-0.124
mcar,0.7,0.6,20,50,0.655,1,-0.008,0.053,0.042,1.289,1000,0.669,347.918,-0.045
mcar,0.7,0.6,20,100,0.679,1,0.071,0.065,0.028,1.287,1000,0.482,708.329,-0.021
mcar,0.7,0.6,100,20,0.575,1,-0.044,0.057,0.035,0.591,1000,1.009,659.602,-0.125
mcar,0.7,0.6,100,50,0.655,1,-0.003,0.042,0.019,0.582,1000,0.669,1740.053,-0.045
mcar,0.7,0.6,100,100,0.679,1,0.013,0.045,0.013,0.579,1000,0.479,3540.097,-0.021
mcar,0.7,0.8,20,20,0.588,1,-0.024,0.062,0.054,1.306,1000,0.966,240.068,-0.112
mcar,0.7,0.8,20,50,0.659,1,-0.045,0.06,0.031,1.284,1000,0.64,624.317,-0.041
mcar,0.7,0.8,20,100,0.679,1,-0.029,0.079,0.021,1.272,1000,0.464,1263.874,-0.021
mcar,0.7,0.8,100,20,0.59,1,-0.004,0.048,0.024,0.587,1000,0.977,1200.284,-0.11
mcar,0.7,0.8,100,50,0.66,1,-0.01,0.046,0.014,0.583,1000,0.648,3120.256,-0.04
mcar,0.7,0.8,100,100,0.681,1,-0.006,0.066,0.009,0.578,1000,0.464,6319.852,-0.019
mcar,0.7,1,20,20,0.599,1,-0.038,0.072,0.042,1.3,1000,0.957,380,-0.101
mcar,0.7,1,20,50,0.663,1,0.04,0.049,0.024,1.29,1000,0.632,980,-0.037
mcar,0.7,1,20,100,0.682,1,0.039,0.07,0.017,1.274,1000,0.455,1980,-0.018
mcar,0.7,1,100,20,0.6,1,-0.023,0.057,0.019,0.589,1000,0.957,1900,-0.1
mcar,0.7,1,100,50,0.664,1,-0.013,0.051,0.011,0.582,1000,0.633,4900,-0.036
mcar,0.7,1,100,100,0.682,1,0.028,0.058,0.007,0.579,1000,0.455,9900,-0.018
